,HEADER,GYROSCOPE A3G4250DTR,GYROSCOPE A3G4250DTR,GYROSCOPE A3G4250DTR,GYROSCOPE A3G4250DTR,SUN SENSORS,SUN SENSORS,SUN SENSORS,SUN SENSORS,SUN SENSORS,SUN SENSORS,MAGNETOMETER RM3100 (External MTM),MAGNETOMETER RM3100 (External MTM),MAGNETOMETER RM3100 (External MTM)
,0x57,Gyro_X,Gyro_Y,Gyro_Z,Gyro_Temp,SS_PX,SS_MX,SS_PY,SS_MY,SS_PZ,SS_MZ,Mgm_X,Mgm_Y,Mgm_Z
0,87,35327,5632,39679,17,29698,29698,28418,28930,29698,28930,176,5187584,13550592
1,87,30463,6656,30207,17,28930,29442,30466,28930,29954,29442,170,4271616,13419520
2,87,41215,3840,32511,17,28930,29698,28930,28930,29442,29186,172,4402176,13288448
3,87,45311,6400,32255,17,29698,29698,28930,28930,29698,29442,189,7486208,13878272
4,87,36607,7936,32511,17,28930,29698,29698,28930,29442,29442,196,8078336,5488896
5,87,36607,5376,36351,16,28930,29698,30466,28674,29442,29442,48,13608960,15580160
6,87,37375,2048,28927,17,29698,29698,29186,28674,29698,29186,88,1560576,179456
7,87,28415,4352,35327,17,29698,29698,29186,28930,29954,29698,177,5125888,13485056
8,87,41215,10496,41983,16,29698,29698,29186,28930,29442,29186,196,8078336,14009344
9,87,41727,7168,31487,16,29186,29698,29954,28930,29698,29442,197,8012544,14009344
10,87,40191,2048,33023,17,29186,29954,29698,28674,29698,29186,183,7614720,13681664
11,87,34559,61183,39423,17,29698,29698,29186,27394,29698,29186,180,4928512,13616128
12,87,43007,7936,31999,16,29698,29698,28930,28674,29186,29186,190,8206848,13812736
13,87,38911,64767,34303,18,29186,29442,29698,28674,29442,29442,195,7881984,14074880
14,87,30463,1536,34815,18,29442,29442,29186,28674,29698,28930,189,7486208,14074880
15,87,40447,6656,39167,17,28930,29698,29186,28930,29186,29442,178,4797952,13550592
16,87,38655,62975,33023,16,30722,29954,29186,28930,29442,29442,177,5125888,13353984
17,87,27135,7424,29439,16,29698,29698,29186,28674,29442,28674,194,7947776,14074880
18,87,37631,4864,43007,18,29698,29698,29186,28930,29442,29186,199,6570240,14402560
19,87,37887,4096,34303,16,29442,29698,29442,28930,29698,29442,184,7811072,13812736
20,87,37375,9472,37119,17,29442,29698,29186,28930,29698,29186,171,4205824,13485056
21,87,34815,65279,28159,17,29698,29698,28930,28674,29698,29442,187,7355648,13878272
22,87,35839,7168,37631,18,29186,29698,29186,29186,29442,29442,192,8337408,14009344
23,87,40447,64255,36863,17,29698,29698,30466,28930,29186,29442,182,7680512,13878272
24,87,41471,2816,42751,16,28930,29442,28162,28930,29442,30210,171,4205824,13353984
25,87,33791,5376,33023,17,28930,29698,29186,28930,29698,27906,166,4530688,13222912
26,87,33279,6912,33535,15,28930,29698,29442,28930,29698,28930,185,7749376,13812736
27,87,35839,9216,33279,16,29698,29698,29186,28674,30466,29442,187,7355648,13878272
28,87,36095,5888,39423,16,29442,30210,29186,28930,29442,29442,177,5125888,13616128
29,87,33279,4352,37631,17,29698,29698,29186,28674,29698,29442,172,4402176,13353984
30,87,36607,7168,44799,16,29442,29698,29186,29186,29442,29442,166,4530688,13157376
31,87,33791,2560,29695,16,28930,29698,29186,28930,29698,29186,181,4862720,13485056
32,87,36351,5120,35839,17,28674,29442,30210,28674,29186,29442,184,7811072,13681664
33,87,35327,6400,32767,17,28930,29186,29442,28930,30210,28674,188,7552000,13812736
34,87,35327,2048,35327,16,29186,29442,29186,28674,28930,28674,185,7749376,13812736
35,87,44031,61439,35071,16,29186,29698,29698,28674,29186,29442,171,4205824,13222912
36,87,36351,9216,37119,16,28930,29698,29186,28930,29698,29442,170,4271616,13288448
